epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.813,1.02504,4.08456,1.38088,0.68605,0.13572,0.12948,0.08693,1.06464,2.98487,1.51413,0.00333139,0.00333139,0.00333139
2,621.422,1.12324,3.06144,1.43717,0.59839,0.19921,0.2048,0.13239,1.12786,2.42915,1.58723,0.00653276,0.00653276,0.00653276
3,915.043,1.20194,2.95208,1.49522,0.43874,0.19132,0.17399,0.10953,1.21659,2.70374,1.69568,0.00960213,0.00960213,0.00960213
4,1203.61,1.23672,2.86091,1.52529,0.43683,0.21958,0.22454,0.14246,1.18559,2.45697,1.6223,0.009406,0.009406,0.009406
5,1493.06,1.18246,2.52022,1.46981,0.52207,0.26072,0.27324,0.17834,1.13914,2.21909,1.5819,0.009208,0.009208,0.009208
6,1782.06,1.15038,2.24332,1.44813,0.52774,0.3385,0.3398,0.23434,1.07358,2.20156,1.53362,0.00901,0.00901,0.00901
7,2071.83,1.11524,2.06659,1.42143,0.52322,0.36765,0.35362,0.23899,1.05851,2.02079,1.50072,0.008812,0.008812,0.008812
8,2360.72,1.09212,1.92141,1.39783,0.57388,0.36963,0.38171,0.26541,1.02398,1.91269,1.47348,0.008614,0.008614,0.008614
9,2649.71,1.07581,1.81439,1.38371,0.57592,0.37191,0.39195,0.27321,1.02094,1.84757,1.47127,0.008416,0.008416,0.008416
10,2937.91,1.04993,1.74898,1.368,0.55678,0.41599,0.42976,0.31167,0.97671,1.73468,1.41373,0.008218,0.008218,0.008218
11,3226.31,1.02845,1.66708,1.35558,0.65512,0.39985,0.44804,0.31586,0.97243,1.67651,1.40727,0.00802,0.00802,0.00802
12,3515.81,1.01185,1.60578,1.33992,0.60281,0.42272,0.45502,0.32373,0.95405,1.60191,1.38663,0.007822,0.007822,0.007822
13,3804.45,1.00397,1.55771,1.3369,0.64007,0.42141,0.46407,0.33394,0.93619,1.58658,1.37235,0.007624,0.007624,0.007624
14,4093.62,0.98987,1.50626,1.32675,0.66139,0.44789,0.47776,0.34986,0.92837,1.5574,1.36108,0.007426,0.007426,0.007426
15,4382.94,0.98606,1.48065,1.31898,0.63193,0.46122,0.48283,0.35675,0.91444,1.55581,1.34588,0.007228,0.007228,0.007228
16,4670.98,0.97038,1.43212,1.30663,0.65364,0.46833,0.50562,0.37075,0.90167,1.4712,1.33572,0.00703,0.00703,0.00703
17,4960.48,0.95056,1.40329,1.29734,0.6641,0.45877,0.5072,0.37492,0.89439,1.43093,1.32505,0.006832,0.006832,0.006832
18,5248.09,0.94395,1.3652,1.28955,0.65943,0.45969,0.52408,0.38688,0.89115,1.42844,1.3206,0.006634,0.006634,0.006634
